SMILES,logP,logD,logS,pKa_total,pKa_acid,pKa_base,Caco2_r,hPPB,rPPB,CYP1A2i_r,CYP2C9i_r,CYP2C19i_r,CYP3A4i_r,CYP2D6i_r,hCLint,MkCLint,dCLint,rCLint,mCLint,VDss,rCLtot,hCLtot
CCN(C=Nc1ccn(C2CCC(CO)O2)c(=O)n1)CC,-0.059999999,,,,,,,,,,,,,,,,,,,,,
Cc1[nH]cnc1CSCCNc1cc(=O)cc[nH]1,0.80000001,0.8,,,,,,,,,,,,,,,,,,,,
CN1CC(O)C(O)C(O)C1CO,-2.4000001,,,,,,,,,,,,,,,,,,,,,
CCCCCCCCCCCCNCl,1.85,,,,,,,,,,,,,,,,,,,,,
CN(SN(C)C(=O)c1ccc(Cl)cc1)C(=O)Oc1cccc2c1OC(C)(C)C2,4,,,,,,,,,,,,,,,,,,,,,
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61,1.438333333,-3.09,,,,,,,,,,,,,,,,,-0.420216403,,
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,4.0999999,3.57,-4.47,,,,,,,,,,,,,,,,,,,
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,4.3899999,,,,,,,,,,,,,,,,,,,,,
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.0100002,3.865,-4.83,,,,-4.7351823,,,,,,,,,,,,,0.079181246,,
CC1=CN2C(=O)C3CCCC3=NC2CC1,1.22,,,,,,,,,,,,,,,,,,,,,
CNCCN(C)CCN,-0.92000002,,,,,,,,,,,,,,,,,,,,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.4400001,1.97475,-2.812,,,,,,,,,,,,,,,,,0.462397998,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.4400001,1.97475,-2.812,,,,,,,,,,,,,,,,,0.255272505,,
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.4000001,,-6.2908,,,,,,,,,,,,,,,,,,,
CCOC(=O)CN1C(=O)C=CC1=O,0.49000001,,,,,,,,,,,,,,,,,,,,,
CC(C)C(=O)NC(=O)C1CCC1,0.25999999,,,,,,,,,,,,,,,,,,,,,
Cc1[nH]nc(C(=O)NC2CC2)c1[N+](=O)[O-],0.25,,,,,,,,,,,,,,,,,,,,,
N#[N+][N-]C1C(CO)OC(n2cnc3c(N)ncnc32)C1[N-][N+]#N,0.80000001,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Cc2cccc(-c3c(O)[nH]c4cc(Cl)ccc4c3=O)c2)cc1,4.8000002,3.47,,,,,,,,,,,,,,,,,,,,
Nc1ccn(C2CCC(CO)O2)c(=O)n1,-1.3,,-0.43,,,,,,,,,,,,,,,,,-0.26760624,,
